직무분야,종목명
사업관리,공공조달관리사
경영·회계·사무,공장관리기술사
경영·회계·사무,포장기술사
경영·회계·사무,품질관리기술사
경영·회계·사무,포장기사
경영·회계·사무,품질경영기사
경영·회계·사무,포장산업기사
경영·회계·사무,품질경영산업기사
경영·회계·사무,사회조사분석사1급
경영·회계·사무,사회조사분석사2급
경영·회계·사무,소비자전문상담사1급
경영·회계·사무,소비자전문상담사2급
경영·회계·사무,컨벤션기획사1급
경영·회계·사무,컨벤션기획사2급
교육·자연과학·사회과학,이러닝운영관리사
보건·의료,국제의료관광코디네이터
보건·의료,임상심리사1급
보건·의료,임상심리사2급
사회복지·종교,직업상담사1급
사회복지·종교,직업상담사2급
문화·예술·디자인·방송,제품디자인기술사
문화·예술·디자인·방송,시각디자인기사
문화·예술·디자인·방송,제품디자인기사
문화·예술·디자인·방송,컬러리스트기사
문화·예술·디자인·방송,시각디자인산업기사
문화·예술·디자인·방송,제품디자인산업기사
문화·예술·디자인·방송,컬러리스트산업기사
문화·예술·디자인·방송,웹디자인개발기능사
문화·예술·디자인·방송,제품응용모델링기능사
문화·예술·디자인·방송,컴퓨터그래픽기능사
운전·운송,철도운송산업기사
운전·운송,농기계운전기능사
영업·판매,텔레마케팅관리사
이용·숙박·여행·오락·스포츠,미용장
이용·숙박·여행·오락·스포츠,이용장
이용·숙박·여행·오락·스포츠,스포츠경영관리사
이용·숙박·여행·오락·스포츠,미용사(네일)
이용·숙박·여행·오락·스포츠,미용사(메이크업)
이용·숙박·여행·오락·스포츠,미용사(일반)
이용·숙박·여행·오락·스포츠,미용사(피부)
이용·숙박·여행·오락·스포츠,이용사
음식서비스,조리기능장
음식서비스,복어조리산업기사
음식서비스,양식조리산업기사
음식서비스,일식조리산업기사
음식서비스,중식조리산업기사
음식서비스,한식조리산업기사
음식서비스,복어조리기능사
음식서비스,양식조리기능사
음식서비스,일식조리기능사
음식서비스,조주기능사
음식서비스,중식조리기능사
음식서비스,한식조리기능사
 건설,금속재창호기능사
 건설,플라스틱창호기능사
건설,건축구조기술사
건설,건축기계설비기술사
건설,건축시공기술사
건설,건축품질시험기술사
건설,교통기술사
건설,농어업토목기술사
건설,도로및공항기술사
건설,도시계획기술사
건설,상하수도기술사
건설,수자원개발기술사
건설,조경기술사
건설,지적기술사
건설,지질및지반기술사
건설,철도기술사
건설,측량및지형공간정보기술사
건설,토목구조기술사
건설,토목시공기술사
건설,토목품질시험기술사
건설,토질및기초기술사
건설,항만및해안기술사
건설,해양기술사
건설,건축목재시공기능장
건설,건축일반시공기능장
건설,배관기능장
건설,잠수기능장
건설,건설재료시험기사
건설,건축기사
건설,건축설비기사
건설,교통기사
건설,도시계획기사
건설,실내건축기사
건설,응용지질기사
건설,조경기사
건설,지적기사
건설,철도토목기사
건설,측량및지형공간정보기사
건설,콘크리트기사
건설,토목기사
건설,항로표지기사
건설,해양공학기사
건설,해양자원개발기사
건설,해양환경기사
건설,건설재료시험산업기사
건설,건축목공산업기사
건설,건축산업기사
건설,건축설비산업기사
건설,건축일반시공산업기사
건설,공간정보융합산업기사
건설,교통산업기사
건설,방수산업기사
건설,배관산업기사
건설,실내건축산업기사
건설,잠수산업기사
건설,조경산업기사
건설,지적산업기사
건설,측량및지형공간정보산업기사
건설,콘크리트산업기사
건설,토목산업기사
건설,항로표지산업기사
건설,해양조사산업기사
건설,거푸집기능사
건설,건설재료시험기능사
건설,건축도장기능사
건설,건축목공기능사
건설,공간정보융합기능사
건설,굴착기운전기능사
건설,기중기운전기능사
건설,도배기능사
건설,도화기능사
건설,로더운전기능사
건설,롤러운전기능사
건설,미장기능사
건설,방수기능사
건설,배관기능사
건설,불도저운전기능사
건설,비계기능사
건설,석공기능사
건설,실내건축기능사
건설,양화장치운전기능사
건설,온수온돌기능사
건설,유리시공기능사
건설,잠수기능사
건설,전산응용건축제도기능사
건설,전산응용토목제도기능사
건설,조경기능사
건설,조적기능사
건설,지게차운전기능사
건설,지도제작기능사
건설,지적기능사
건설,천공기운전기능사
건설,천장크레인운전기능사
건설,철근기능사
건설,철도토목기능사
건설,측량기능사
건설,컨테이너크레인운전기능사
건설,콘크리트기능사
건설,타워크레인운전기능사
건설,타일기능사
건설,항공사진기능사
건설,항로표지기능사
광업자원,화약류관리기술사
광업자원,화약류관리기사
광업자원,화약류관리산업기사
광업자원,화약취급기능사
기계,건설기계기술사
기계,공조냉동기계기술사
기계,금형기술사
기계,기계기술사
기계,산업기계설비기술사
기계,조선기술사
기계,차량기술사
기계,철도차량기술사
기계,항공기관기술사
기계,항공기체기술사
기계,건설기계정비기능장
기계,금형기능장
기계,기계가공기능장
기계,자동차정비기능장
기계,철도차량정비기능장
기계,건설기계설비기사
기계,건설기계정비기사
기계,공조냉동기계기사
기계,궤도장비정비기사
기계,그린전동자동차기사
기계,농업기계기사
기계,사출금형기사
기계,설비보전기사
기계,승강기기사
기계,일반기계기사
기계,자동차정비기사
기계,조선선체기사
기계,조선의장기사
기계,철도차량기사
기계,프레스금형기사
기계,항공기사
기계,건설기계설비산업기사
기계,건설기계정비산업기사
기계,공조냉동기계산업기사
기계,궤도장비정비산업기사
기계,기계설계산업기사
기계,기계조립산업기사
기계,농업기계산업기사
기계,사출금형산업기사
기계,설비보전산업기사
기계,스마트공장산업기사
기계,승강기산업기사
기계,자동차정비산업기사
기계,자동화설비산업기사
기계,정밀측정산업기사
기계,조선산업기사
기계,철도차량산업기사
기계,컴퓨터응용가공산업기사
기계,프레스금형산업기사
기계,항공산업기사
기계,건설기계정비기능사
기계,공조냉동기계기능사
기계,궤도장비정비기능사
기계,금형기능사
기계,기계가공조립기능사
기계,농업기계정비기능사
기계,반도체설비보전기능사
기계,선박기관정비기능사
기계,선체건조기능사
기계,선체설계기능사
기계,설비보전기능사
기계,스마트공장기능사
기계,승강기기능사
기계,이륜자동차정비기능사
기계,자동차보수도장기능사
기계,자동차정비기능사
기계,자동차차체수리기능사
기계,자동화설비기능사
기계,전산응용기계제도기능사
기계,정밀측정기능사
기계,철도차량정비기능사
기계,컴퓨터응용밀링기능사
기계,컴퓨터응용선반기능사
기계,표면실장장비기능사
기계,항공기정비기능사
기계,항공전기·전자정비기능사
재료,금속가공기술사
재료,금속재료기술사
재료,금속제련기술사
재료,세라믹기술사
재료,용접기술사
재료,표면처리기술사
재료,금속재료기능장
재료,압연기능장
재료,용접기능장
재료,제강기능장
재료,제선기능장
재료,주조기능장
재료,판금제관기능장
재료,표면처리기능장
재료,금속재료기사
재료,용접기사
재료,금속재료산업기사
재료,용접산업기사
재료,주조산업기사
재료,판금제관산업기사
재료,표면처리산업기사
재료,가스텅스텐아크용접기능사
재료,금속도장기능사
재료,금속재료시험기능사
재료,압연기능사
재료,열처리기능사
재료,이산화탄소가스아크용접기능사
재료,제강기능사
재료,제선기능사
재료,주조기능사
재료,축로기능사
재료,판금제관기능사
재료,표면처리기능사
재료,피복아크용접기능사
화학,화공기술사
화학,위험물기능장
화학,바이오화학제품제조기사
화학,정밀화학기사
화학,화공기사
화학,화약류제조기사
화학,화학분석기사
화학,바이오화학제품제조산업기사
화학,위험물산업기사
화학,화약류제조산업기사
화학,바이오공정기능사
화학,위험물기능사
화학,화학분석기능사
섬유·의복,섬유기술사
섬유·의복,의류기술사
섬유·의복,한복기능장
섬유·의복,섬유기사
섬유·의복,의류기사
섬유·의복,섬유디자인산업기사
섬유·의복,섬유산업기사
섬유·의복,신발산업기사
섬유·의복,패션디자인산업기사
섬유·의복,패션머천다이징산업기사
섬유·의복,남성복기능사
섬유·의복,봉제기능사
섬유·의복,세탁기능사
섬유·의복,신발제조기능사
섬유·의복,여성복기능사
섬유·의복,염색기능사(날염)
섬유·의복,염색기능사(침염)
섬유·의복,한복기능사
전기·전자,건축전기설비기술사
전기·전자,발송배전기술사
전기·전자,산업계측제어기술사
전기·전자,전기응용기술사
전기·전자,전기철도기술사
전기·전자,전자응용기술사
전기·전자,철도신호기술사
전기·전자,전기기능장
전기·전자,전자기능장
전기·전자,광학기사
전기·전자,로봇기구개발기사
전기·전자,로봇소프트웨어개발기사
전기·전자,로봇하드웨어개발기사
전기·전자,의공기사
전기·전자,임베디드기사
전기·전자,전기공사기사
전기·전자,전기기사
전기·전자,전기철도기사
전기·전자,전자기사
전기·전자,철도신호기사
전기·전자,3D프린터개발산업기사
전기·전자,광학기기산업기사
전기·전자,반도체커스텀레이아웃산업기사
전기·전자,의공산업기사
전기·전자,전기공사산업기사
전기·전자,전기산업기사
전기·전자,전기철도산업기사
전기·전자,전자산업기사
전기·전자,철도신호산업기사
전기·전자,3D프린터운용기능사
전기·전자,의료전자기능사
전기·전자,임베디드기능사
