종목코드,연도,종목명
0000,2024,타워크레인설치·해체기능사
0000,2025,타워크레인설치·해체기능사
0000,2026,타워크레인설치·해체기능사
0000,2027,타워크레인설치·해체기능사
0000,2028,타워크레인설치·해체기능사
0011,2024,용접기술사
0011,2025,용접기술사
0011,2026,용접기술사
0011,2027,용접기술사
0011,2028,용접기술사
0012,2024,금형기술사
0012,2025,금형기술사
0012,2026,금형기술사
0012,2027,금형기술사
0012,2028,금형기술사
0050,2024,차량기술사
0050,2025,차량기술사
0050,2026,차량기술사
0050,2027,차량기술사
0050,2028,차량기술사
0060,2024,산업기계설비기술사
0060,2025,산업기계설비기술사
0060,2026,산업기계설비기술사
0060,2027,산업기계설비기술사
0060,2028,산업기계설비기술사
0071,2024,공조냉동기계기술사
0071,2025,공조냉동기계기술사
0071,2026,공조냉동기계기술사
0071,2027,공조냉동기계기술사
0071,2028,공조냉동기계기술사
0080,2024,건설기계기술사
0080,2025,건설기계기술사
0080,2026,건설기계기술사
0080,2027,건설기계기술사
0080,2028,건설기계기술사
0094,2024,금속제련기술사
0094,2025,금속제련기술사
0094,2026,금속제련기술사
0094,2027,금속제련기술사
0094,2028,금속제련기술사
0110,2024,금속재료기술사
0110,2025,금속재료기술사
0110,2026,금속재료기술사
0110,2027,금속재료기술사
0110,2028,금속재료기술사
0120,2024,표면처리기술사
0120,2025,표면처리기술사
0120,2026,표면처리기술사
0120,2027,표면처리기술사
0120,2028,표면처리기술사
0130,2024,금속가공기술사
0130,2025,금속가공기술사
0130,2026,금속가공기술사
0130,2027,금속가공기술사
0130,2028,금속가공기술사
0210,2024,화공기술사
0210,2025,화공기술사
0210,2026,화공기술사
0210,2027,화공기술사
0210,2028,화공기술사
0230,2024,발송배전기술사
0230,2025,발송배전기술사
0230,2026,발송배전기술사
0230,2027,발송배전기술사
0230,2028,발송배전기술사
0250,2024,전기응용기술사
0250,2025,전기응용기술사
0250,2026,전기응용기술사
0250,2027,전기응용기술사
0250,2028,전기응용기술사
0261,2024,철도신호기술사
0261,2025,철도신호기술사
0261,2026,철도신호기술사
0261,2027,철도신호기술사
0261,2028,철도신호기술사
0270,2024,산업계측제어기술사
0270,2025,산업계측제어기술사
0270,2026,산업계측제어기술사
0270,2027,산업계측제어기술사
0270,2028,산업계측제어기술사
0301,2024,전자응용기술사
0301,2025,전자응용기술사
0301,2026,전자응용기술사
0301,2027,전자응용기술사
0301,2028,전자응용기술사
0320,2024,조선기술사
0320,2025,조선기술사
0320,2026,조선기술사
0320,2027,조선기술사
0320,2028,조선기술사
0360,2024,항공기체기술사
0360,2025,항공기체기술사
0360,2026,항공기체기술사
0360,2027,항공기체기술사
0360,2028,항공기체기술사
0370,2024,항공기관기술사
0370,2025,항공기관기술사
0370,2026,항공기관기술사
0370,2027,항공기관기술사
0370,2028,항공기관기술사
0390,2024,토질및기초기술사
0390,2025,토질및기초기술사
0390,2026,토질및기초기술사
